               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.030789,            0.014211,                   0,             0.93714,             0.96887,             0.95382,             0.58475,            0.029027,            0.020096,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.029307,            0.013887,                   0,             0.93802,             0.97165,             0.96186,             0.56954,            0.031026,            0.020508,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.029595,            0.014628,                   0,             0.94113,             0.96423,              0.9603,             0.60516,            0.032077,            0.019948,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.028999,            0.013713,                   0,             0.93436,             0.96935,             0.95679,             0.53454,            0.032329,             0.02026,                   0,            0.005941,            0.005941,            0.005941
                  43,             0.02972,            0.014551,                   0,             0.94311,             0.96755,             0.96201,             0.61824,            0.027596,            0.019745,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.027735,            0.013408,                   0,             0.93406,             0.97665,             0.95739,             0.59503,            0.026716,             0.01961,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.027533,            0.013503,                   0,              0.9192,              0.9786,             0.95978,             0.60172,            0.029773,            0.019516,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.027478,            0.013784,                   0,             0.91873,             0.97665,             0.95673,             0.64499,            0.026233,            0.019437,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.028566,            0.014403,                   0,             0.92249,              0.9725,             0.96035,             0.59918,            0.030109,            0.019681,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.027478,            0.014149,                   0,             0.93659,             0.97701,             0.96413,             0.52801,            0.028304,            0.019449,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.027472,            0.014237,                   0,             0.92322,             0.98255,             0.96221,             0.63566,            0.027344,            0.019239,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.026494,            0.014283,                   0,             0.92166,              0.9786,             0.95991,             0.62104,            0.030589,            0.019778,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.026533,            0.013836,                   0,             0.91927,             0.97276,             0.95726,             0.63313,            0.030645,            0.019943,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.026097,            0.013786,                   0,             0.92239,             0.97471,             0.95803,             0.53312,            0.028921,            0.019758,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.026606,            0.013934,                   0,             0.92349,             0.97665,             0.96095,             0.63499,            0.026032,            0.019852,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.026351,            0.012929,                   0,              0.9298,             0.97922,             0.96261,             0.59251,            0.026366,            0.019624,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.025849,            0.012846,                   0,             0.93057,             0.96887,             0.95756,             0.61648,            0.027588,             0.01955,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.025891,            0.013848,                   0,             0.92764,             0.97665,             0.95835,             0.61714,             0.02601,            0.019537,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.025253,            0.013364,                   0,             0.92933,             0.97221,             0.95842,             0.60081,            0.030086,            0.019605,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.025085,            0.014496,                   0,             0.91845,             0.97276,             0.95284,             0.63134,            0.026778,            0.019422,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.024446,            0.012149,                   0,             0.91179,             0.97471,             0.95455,             0.59888,            0.026746,            0.019592,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.023412,            0.012787,                   0,              0.9197,             0.98049,              0.9573,             0.64511,            0.025451,            0.019467,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.024091,            0.012388,                   0,             0.91961,             0.96693,             0.95545,             0.61235,            0.025988,            0.019121,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.023968,            0.012324,                   0,             0.92366,             0.96887,             0.95489,              0.6113,            0.026961,            0.018879,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.023044,            0.012307,                   0,             0.93823,             0.96693,             0.95661,             0.63908,            0.023964,            0.018251,                   0,            0.003862,            0.003862,            0.003862
                  64,             0.02323,            0.012448,                   0,             0.93893,             0.96887,             0.95698,             0.61706,            0.025981,            0.018383,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.022744,            0.013871,                   0,             0.93036,             0.96693,             0.95553,             0.63207,            0.025804,            0.018677,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.022847,            0.012067,                   0,             0.92887,             0.96543,             0.95882,             0.63715,            0.026294,            0.018789,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.021886,            0.012417,                   0,             0.92201,             0.96599,             0.95879,             0.62329,            0.025123,            0.018956,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.021913,            0.012238,                   0,                0.92,             0.97082,             0.95631,              0.6423,             0.02436,            0.019109,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.023021,            0.012666,                   0,             0.91663,             0.96261,             0.95446,             0.63581,            0.025339,            0.019583,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.022059,            0.012107,                   0,             0.92039,             0.96722,             0.95664,             0.62681,            0.027587,            0.019669,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.022573,             0.01278,                   0,             0.92019,             0.96498,             0.95206,             0.63075,            0.024805,            0.019649,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.021488,            0.012194,                   0,             0.91244,             0.96109,             0.94937,              0.6182,            0.025342,            0.019922,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.021012,            0.012186,                   0,             0.91607,             0.96304,             0.95128,             0.64919,            0.024535,            0.019378,                   0,            0.002872,            0.002872,            0.002872
                  74,             0.02159,            0.011868,                   0,             0.92102,             0.96304,             0.95364,             0.63266,            0.026381,            0.019254,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.020812,            0.012759,                   0,             0.91843,             0.96382,             0.95427,             0.64288,            0.024708,            0.019388,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.020487,            0.012259,                   0,             0.91648,             0.96304,             0.95192,             0.63561,            0.025705,            0.019361,                   0,            0.002575,            0.002575,            0.002575
                  77,             0.02042,            0.011916,                   0,              0.9168,             0.96304,             0.95183,             0.64873,            0.023692,            0.019052,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.020213,            0.010839,                   0,             0.91581,             0.96887,              0.9524,             0.62276,            0.026483,            0.018627,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.020211,            0.011808,                   0,             0.90946,              0.9786,             0.95407,             0.63096,            0.025417,            0.018233,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.019811,            0.011602,                   0,              0.9128,             0.97755,             0.95516,             0.63679,             0.02597,            0.018593,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.019582,            0.011952,                   0,             0.92736,              0.9686,              0.9536,             0.65184,            0.024627,             0.01848,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.019106,            0.010428,                   0,              0.9303,             0.97082,             0.95697,              0.6498,            0.025546,            0.018527,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.018991,            0.011707,                   0,             0.92915,             0.96949,             0.95799,             0.66167,            0.024176,            0.018505,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.018486,            0.010975,                   0,             0.93082,             0.96858,             0.95868,              0.6592,            0.024607,            0.018528,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.018175,            0.010841,                   0,             0.93099,             0.97276,             0.95718,             0.64761,            0.025083,            0.018366,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.018619,            0.011412,                   0,             0.93258,             0.96875,             0.95821,              0.6581,            0.024661,            0.018176,                   0,            0.001585,            0.001585,            0.001585
